fips,year,count_alldrug,population
13167,2021,0,9034
13167,2022,12,9242
13169,2018,29,28603
13169,2019,30,28689
13169,2020,31,28397
13169,2021,43,28409
13169,2022,32,28472
13171,2018,30,18866
13171,2019,17,19001
13171,2020,0,18551
13171,2021,26,18684
13171,2022,26,19467
13173,2018,12,10450
13173,2019,10,10581
13173,2020,0,9926
13173,2021,19,10052
13173,2022,10,10171
13175,2018,48,47293
13175,2019,57,47567
13175,2020,45,49544
13175,2021,73,49527
13175,2022,89,49660
13177,2018,21,29764
13177,2019,30,30045
13177,2020,44,33215
13177,2021,45,33194
13177,2022,45,33642
13179,2018,54,60887
13179,2019,44,62813
13179,2020,50,65317
13179,2021,61,66844
13179,2022,65,68030
13181,2018,0,7927
13181,2019,0,7969
13181,2020,12,7701
13181,2021,0,7750
13181,2022,0,7841
13183,2018,12,19148
13183,2019,12,19647
13183,2020,14,16269
13183,2021,17,17089
13183,2022,19,18348
13185,2018,113,116361
13185,2019,123,117600
13185,2020,136,118415
13185,2021,133,118914
13185,2022,139,119739
13187,2018,33,32934
13187,2019,33,33692
13187,2020,52,33631
13187,2021,46,32890
13187,2022,42,34796
13189,2018,16,21545
13189,2019,23,21317
13189,2020,30,21603
13189,2021,35,21636
13189,2022,46,21713
13191,2018,0,14243
13191,2019,15,14294
13191,2020,25,10987
13191,2021,15,11051
13191,2022,0,11180
13193,2018,0,13153
13193,2019,11,12934
13193,2020,0,12021
13193,2021,0,11832
13193,2022,0,11765
13195,2018,37,29653
13195,2019,32,29925
13195,2020,37,30269
13195,2021,44,30883
13195,2022,46,31473
13197,2018,0,8392
13197,2019,10,8413
13197,2020,0,7530
13197,2021,0,7426
13197,2022,0,7449
13199,2018,17,21061
13199,2019,29,21112
13199,2020,21,20606
13199,2021,29,20715
13199,2022,24,20845
13201,2018,0,5646
13201,2019,0,5667
13201,2020,0,5988
13201,2021,0,5886
13201,2022,21,5807
13205,2018,22,22156
13205,2019,24,21846
